#N: 3053
#c i v
 3    871 +1.01835e+00 
 3    872 +3.11111e+00 
 3    873 +2.28279e+00 
 3    874 -9.87308e-01 
 3    875 -2.40632e+00 
 3    876 -3.20086e+00 
 3    877 -3.29895e+00 
 3    878 -2.57517e+00 
 3    879 -1.39566e+00 
 3    880 +5.72961e-01 
 3    881 +1.88185e+00 
 3    882 +3.94381e-01 
 3    883 +1.99116e+00 
 3    884          NaN 
 4    885 -4.11044e+00 
 4    886 -3.10310e+00 
 4    887 -5.89966e-01 
 4    888 -2.50479e-01 
 4    889 +2.16701e+00 
 4    890 +1.25755e+00 
 4    891 +3.45214e-01 
 4    892 +1.69217e+00 
 4    893 +2.65583e+00 
 4    894 +1.76816e+00 
 4    895 -1.43354e+00 
 4    896 +2.20141e+00 
 4    897 +2.87644e+00 
 4    898 +1.98287e+00 
 4    899 -1.84178e+00 
 4    900 +5.64415e-01 
 4    901 -9.47026e-01 
 4    902 +1.66903e-01 
 4    903 +1.74145e+00 
 4    904 +2.86486e+00 
 4    905 +2.72011e+00 
 4    906 +2.26159e+00 
 4    907 +1.59215e+00 
 4    908 +1.88359e+00 
 4    909 +2.03905e+00 
 4    910 +2.37754e+00 
 4    911 +2.14844e+00 
 4    912 -6.32124e-02 
 4    913 +1.66197e+00 
 4    914 +1.79834e+00 
 4    915 -8.10895e-01 
 4    916 -2.96641e+00 
 4    917 -1.40405e+00 
 4    918 +2.94444e-01 
 4    919 -1.53378e+00 
 4    920 +2.00498e-01 
 4    921 -3.73207e-01 
 4    922 +2.40524e-01 
 4    923 +7.44704e-01 
 4    924 +1.62929e+00 
 4    925 +2.09747e+00 
 4    926 +1.50734e+00 
 4    927 +1.63720e+00 
 4    928 -3.77813e-01 
 4    929 +1.69910e+00 
 4    930 +2.25006e+00 
 4    931 +2.11467e+00 
 4    932          NaN 
 4    933          NaN 
 4    934 +8.58366e-01 
 4    935 +7.79985e-01 
 4    936 +3.83584e-01 
 4    937 +7.11335e-01 
 4    938 +1.39010e-01 
 4    939 -8.46256e-01 
